AAO_Pair_Ref__c,AAO_Evidence_Contract__r.AAO_Proposition_Code__c,AAO_Meaning__c,AAO_Coverage__c,AAO_Start_Offset__c,AAO_End_Offset__c,AAO_Answer_Text__c,AAO_About_Designator__c
r2q8,AAO_POL_PS2,POLITICAL_STRUCTURE,Partial,7721,8000,"Yeah, if you could just send me the contact email person team that I should have them send it to. I don't have visibility to these questionnaires. It's part of that compliance team. So as long as I have the person, I'll make sure they have that and then they can forward that on.",
r1q7,AAO_POL_PS2,POLITICAL_STRUCTURE,Partial,7721,8000,"Yeah, if you could just send me the contact email person team that I should have them send it to. I don't have visibility to these questionnaires. It's part of that compliance team. So as long as I have the person, I'll make sure they have that and then they can forward that on.",
r1q10,AAO_POL_PS3,POLITICAL_STRUCTURE,Partial,10348,10528,"I just want to make sure that if anything, I help support, right, Jeff, I work with on this one, Ryan, this is his first. So I just want to make sure that I'm available to support.",
r2q11,AAO_POL_PS2,POLITICAL_STRUCTURE,Partial,10348,10528,"I just want to make sure that if anything, I help support, right, Jeff, I work with on this one, Ryan, this is his first. So I just want to make sure that I'm available to support.",
r1q8,AAO_BR_EVAL,EVALUATOR,Full,13593,13865,"Is that tiers, tier priced? Wendy, is this the tier of like 0 to 600 and 600 and above? Like, is that the tier or is it just priced? Okay, the tier. Okay. So if we go, sorry, the reason why I'm asking is if we, let's say, go above 600, will that get us into a higher tier?",
r2q9,AAO_BR_EVAL,EVALUATOR,Full,13593,13865,"Is that tiers, tier priced? Wendy, is this the tier of like 0 to 600 and 600 and above? Like, is that the tier or is it just priced? Okay, the tier. Okay. So if we go, sorry, the reason why I'm asking is if we, let's say, go above 600, will that get us into a higher tier?",
r2q1,AAO_BR_EVAL,EVALUATOR,Full,14309,14474,"Sure. And I think that the, you know, the total cost, the annual total is going to be the thing that gets the most amount of scrutiny when it comes to the approvals.",
r1q2,AAO_DC_N,CRITERION,Full,14315,14570,"And I think that the, you know, the total cost, the annual total is going to be the thing that gets the most amount of scrutiny when it comes to the approvals. And so I know that our internal approvers would be looking to see, you know, something that was",
r2q2,AAO_DC_N,CRITERION,Full,14347,14570,"the total cost, the annual total is going to be the thing that gets the most amount of scrutiny when it comes to the approvals. And so I know that our internal approvers would be looking to see, you know, something that was",
r2q3,AAO_DC_F,FORMAL,Partial,14363,14540,the annual total is going to be the thing that gets the most amount of scrutiny when it comes to the approvals. And so I know that our internal approvers would be looking to see,
r1q3,AAO_DC_F,FORMAL,Full,14363,14540,the annual total is going to be the thing that gets the most amount of scrutiny when it comes to the approvals. And so I know that our internal approvers would be looking to see,
r1q1,AAO_BR_EVAL,EVALUATOR,Full,14670,14857,"Is there anywhere else to go with this as far as the per user rate? Like, I mean, I appreciate the flexibility of the up to 600, but if we were to list it at 500, where would that put us?",
r2q4,AAO_BR_EVAL,EVALUATOR,Full,14670,14857,"Is there anywhere else to go with this as far as the per user rate? Like, I mean, I appreciate the flexibility of the up to 600, but if we were to list it at 500, where would that put us?",
r1q13,AAO_BR_EVAL,EVALUATOR,Full,21368,21444,"Wendy is that when you say 10, is that 10 days worth like an 80 hours thing?",
r1q14,AAO_BR_EVAL,EVALUATOR,Partial,21812,21932,"Yeah, okay, so that's 20 hours of that assistance. And then is there an option to do like a train the trainer type deal?",
r2q14,AAO_BR_EVAL,EVALUATOR,Full,21812,21932,"Yeah, okay, so that's 20 hours of that assistance. And then is there an option to do like a train the trainer type deal?",
r1q12,AAO_BR_EVAL,EVALUATOR,Full,23678,23783,The other question I had was if the inside user training is not something we want to do right off the bat,
r2q13,AAO_BR_EVAL,EVALUATOR,Partial,23678,23783,The other question I had was if the inside user training is not something we want to do right off the bat,
r2q12,AAO_POL_PS1,POLITICAL_STRUCTURE,Partial,25394,25644,"No, I don't. I feel like we got to be flexible about starting that at a later point, because from a change management perspective, the relationship map user training has to happen first, and then people start using, and then we introduce the insights",
r1q11,AAO_POL_PS1,POLITICAL_STRUCTURE,Partial,25394,25644,"No, I don't. I feel like we got to be flexible about starting that at a later point, because from a change management perspective, the relationship map user training has to happen first, and then people start using, and then we introduce the insights",
r1q5,AAO_POL_OPS1,OUTSIDE_POLITICAL_STRUCTURE,Full,31449,31520,I'm trying to think of exactly how we tell this story to our approvers.,
r1q4,AAO_PS_1,MENTOR,,31801,32074,"Yeah, and so I think that's part of where I'm going with this is that I want to make sure that we're presenting a compelling story to those approvers. You know, I'm going to need the, you mentioned an SOW, would you be able to provide a draft SOW with all those line items?",
r2q5,AAO_PS_1,MENTOR,,31801,32074,"Yeah, and so I think that's part of where I'm going with this is that I want to make sure that we're presenting a compelling story to those approvers. You know, I'm going to need the, you mentioned an SOW, would you be able to provide a draft SOW with all those line items?",
r2q6,AAO_POL_PS2,POLITICAL_STRUCTURE,Full,32135,32379,"Okay, yeah, I think where I'll go next with that is I'll take that on to the Emerson due diligence team just to see if they can take a look at those line items and see if they jive with what they would expect and see where we can go from there.",
r2q15,AAO_BR_USER,USER,Partial,35515,35687,"And Jefferson, good to meet you. And I think we'll be working, we'll be working with, or together through this for the next couple of weeks or whatever through procurement.",
r1q16,AAO_POL_PS2,POLITICAL_STRUCTURE,Partial,35552,35687,"I think we'll be working, we'll be working with, or together through this for the next couple of weeks or whatever through procurement.",
r1q15,AAO_DC_N,CRITERION,Partial,38075,38204,"I think Jeff needs to figure out the pricing. So if you can send this out, I think we were being asked to work within that budget",
r2q10,AAO_PS_1,SUPPORTER,,38811,39014,If you can share the information and then I will let you guys work with Jeff and I'm right here and I'm going to support whatever it's going to take to make sure that it gets through as soon as possible.,
r1q9,AAO_PS_1,SUPPORTER,,38811,39014,If you can share the information and then I will let you guys work with Jeff and I'm right here and I'm going to support whatever it's going to take to make sure that it gets through as soon as possible.,
r1q6,AAO_POL_PS2,POLITICAL_STRUCTURE,Full,41411,41570,"I would like to send it both with the SOW all in one. And so, and then I'm gonna have, like I said, I'll have our due diligence team take a look at it as well.",
r2q7,AAO_POL_PS2,POLITICAL_STRUCTURE,Full,41411,41570,"I would like to send it both with the SOW all in one. And so, and then I'm gonna have, like I said, I'll have our due diligence team take a look at it as well.",
