AAO_Persona__c,AAO_Expected_From_Stage__c,AAO_Title_Patterns__c,AAO_Note__c
Altify Program Owner,,altify program,"THE SEVENTY-SIXTH STAMP'S LABEL HAZARD, live in the vocabulary: this value names a vendor product. Keyed to the stored value so it cannot be read as a methodology role."
CEO,,"chief executive,ceo","Job-shaped, like every value in this vocabulary."
Consultant,,"consultant,advisory",NO GUIDANCE on the stage.
CRO,,"chief revenue,cro",NO GUIDANCE on the stage: nothing states when a CRO is expected.
Enablement Leader,,enablement,NO GUIDANCE on the stage.
Executive Sponsor,,executive sponsor,"Stored value is ""Executive Sponsor""; see the persona field."
IT Leader,,"chief information,cio,head of it,it director,vp it,chief technology,cto",NO GUIDANCE on the stage.
Legal,,"legal,general counsel,counsel",NO GUIDANCE on the stage.
Partner,,partner,NO GUIDANCE on the stage.
Procurement Lead,,"procurement,purchasing,sourcing",NO GUIDANCE on the stage.
RevOps Leader,,"revenue operations,revops,rev ops,sales operations",NO GUIDANCE on the stage.
Sales Leader,,"vp sales,vice president sales,head of sales,sales director,chief sales",NO GUIDANCE on the stage.
