AAO_Run_Key__c,AAO_Pair_Ref__c,AAO_Evidence_Contract__r.AAO_Family__c,AAO_Evidence_Contract__r.AAO_Proposition_Code__c,AAO_Located_Pair__r.AAO_Answer_Text__c,AAO_Located_Pair__r.AAO_Start_Offset__c,AAO_Located_Pair__r.AAO_End_Offset__c,AAO_Located_Pair__r.AAO_Meaning__c,AAO_Located_Pair__r.AAO_Coverage__c,AAO_Disposition__c,AAO_Person__r.AAO_Display_Name__c,AAO_Verification__c,AAO_Verification_Note__c,AAO_Claim__c,AAO_Artifact_SHA256__c
gateA-c1,r1q1,Problems,AAO_PB_OBST,our forecast is off by around twenty percent every quarter. I can't tell you which deals are real until they either close or die,251,379,OBSTACLE,Full,Identified,Dana Okafor,Upheld,"The words describe a task and situation standing in the way: forecast inaccuracy and inability to identify real deals until closure, which blocks their ability to proceed.",a1VWD000008qT6B2AU,acc43c029f47bb0142d0e6694640d5350883ea34e7d5863fc6d34a276c10c723
gateA-c1,r1q10,,AAO_BR_EVAL,The thing I'll need to prove is that it reads what's already there.,1729,1796,EVALUATOR,Full,Identified,Raj Patel,Upheld,"The words express a need to prove a capability against a requirement, which constitutes weighing what is being offered.",a1VWD000008qT6C2AU,acc43c029f47bb0142d0e6694640d5350883ea34e7d5863fc6d34a276c10c723
gateA-c1,r1q11,Problems,AAO_PB_GOAL,Adoption above eighty percent without me nagging a single person.,2107,2172,GOAL,Full,Identified,Raj Patel,Upheld,The words directly state an outcome the speaker or their organization wants to achieve: adoption above eighty percent without requiring nagging.,a1VWD000008qT6D2AU,acc43c029f47bb0142d0e6694640d5350883ea34e7d5863fc6d34a276c10c723
gateA-c1,r1q12,,AAO_POL_PS2,"Raj, you own the systems side.",717,747,POLITICAL_STRUCTURE,Partial,Identified,Sam Ruiz,Upheld,"The words directly assign ownership and responsibility to Raj for the systems side, calling on him to make it happen.",,acc43c029f47bb0142d0e6694640d5350883ea34e7d5863fc6d34a276c10c723
gateA-c1,r1q13,,AAO_POL_PS1,We bolted a methodology onto Salesforce,873,912,POLITICAL_STRUCTURE,Partial,Identified,Raj Patel,Upheld,"The words describe execution of a project after approval, stating that they bolted a methodology onto Salesforce.",a1VWD000008qT6E2AU,acc43c029f47bb0142d0e6694640d5350883ea34e7d5863fc6d34a276c10c723
gateA-c1,r1q14,,AAO_PS_1,"I'll push back a little, because I've heard the forecast pitch before. We bought a tool two years ago that promised exactly this and my reps never touched it.",388,546,NON_SUPPORTER,,Identified,Marcus Reyes,Upheld,The words directly voice skepticism about our solution based on a failed prior purchase of a similar tool.,a1VWD000008qT6F2AU,acc43c029f47bb0142d0e6694640d5350883ea34e7d5863fc6d34a276c10c723
gateA-c1,r1q15,,AAO_BR_EVAL,"And keep it honest. If it can't do something, tell me plainly, because that's how I'll know the rest is true.",2597,2706,EVALUATOR,Full,Identified,Marcus Reyes,Refused,"The words describe a request for honest communication about limitations, not a weighing or comparison of options, capabilities, or terms.",,acc43c029f47bb0142d0e6694640d5350883ea34e7d5863fc6d34a276c10c723
gateA-c1,r1q16,,AAO_DC_N,My best rep spends nine hours a week on admin. Give her half of that back and I'll champion this myself.,2190,2294,CRITERION,Full,Merged,,,,,acc43c029f47bb0142d0e6694640d5350883ea34e7d5863fc6d34a276c10c723
gateA-c1,r1q17,Problems,AAO_PB_OBST,My best rep spends nine hours a week on admin.,2190,2236,OBSTACLE,Full,Identified,Marcus Reyes,Upheld,The words directly assert that admin work is a task/situation standing in the way of what the speaker is trying to do.,a1VWD000008qT6G2AU,acc43c029f47bb0142d0e6694640d5350883ea34e7d5863fc6d34a276c10c723
gateA-c1,r1q18,,AAO_BR_USER,my reps never touched it,521,545,USER,Full,Merged,,,,,acc43c029f47bb0142d0e6694640d5350883ea34e7d5863fc6d34a276c10c723
gateA-c1,r1q19,,AAO_BR_DM,Adoption sat at maybe forty percent and then we quietly stopped paying for it.,547,625,DECISION_MAKER,Partial,Identified,Marcus Reyes,Refused,"The words describe past adoption and discontinuation of a tool, but do not assert a commitment to a vendor or strategic direction; they describe the opposite.",,acc43c029f47bb0142d0e6694640d5350883ea34e7d5863fc6d34a276c10c723
gateA-c1,r1q2,Problems,AAO_PB_GOAL,A forecast I can defend to the board without a spreadsheet full of gut feels.,2025,2102,GOAL,Full,Identified,Dana Okafor,Upheld,The words directly state an outcome the speaker wants to achieve: a forecast they can defend to the board without relying on gut feels.,a1VWD000008qT6H2AU,acc43c029f47bb0142d0e6694640d5350883ea34e7d5863fc6d34a276c10c723
gateA-c1,r1q20,,AAO_BR_DM,We bought a tool two years ago that promised exactly this,459,516,DECISION_MAKER,Partial,Identified,Marcus Reyes,Refused,"The words state that they bought a tool in the past, which asserts a past commitment, but the question asks about present commitment and the context shows this tool was abandoned.",,acc43c029f47bb0142d0e6694640d5350883ea34e7d5863fc6d34a276c10c723
