Name,AAO_Answer_Key__c,AAO_Evidence_Contract__r.AAO_Proposition_Code__c,AAO_Subject_Type__c,AAO_Verdict__c,AAO_Established_By__c,AAO_Publication_State__c,AAO_Support_Counter__c,AAO_Superseded_By__c,AAO_Projected_Value__c
ANS-00000723,A2|Decision_Criterion|a1cWD000005wqkvYAA|a1WWD000002p26t2AA,AAO_DC_N,Decision_Criterion,TRUE,MACHINE,Live,,,
ANS-00000724,A2|Decision_Criterion|a1cWD000005wqkvYAA|a1WWD000002p26v2AA,AAO_DC_R,Decision_Criterion,TRUE,MACHINE,Live,,,
ANS-00000719,A2|Decision_Criterion|a1cWD000005wrx7YAA|a1WWD000002p26t2AA,AAO_DC_N,Decision_Criterion,TRUE,MACHINE,Live,,,
ANS-00000739,A2|Decision_Criterion|a1cWD000005wtsUYAQ|a1WWD000002p26t2AA,AAO_DC_N,Decision_Criterion,TRUE,MACHINE,Live,,,
ANS-00000734,A2|Decision_Criterion|a1cWD000005wwn7YAA|a1WWD000002p26t2AA,AAO_DC_N,Decision_Criterion,TRUE,MACHINE,Live,,,
ANS-00000743,A2|Decision_Criterion|a1cWD000005xqkTYAQ|a1WWD000002p26t2AA,AAO_DC_N,Decision_Criterion,TRUE,MACHINE,Live,,,
ANS-00000744,A2|Decision_Criterion|a1cWD000005xqkUYAQ|a1WWD000002p26t2AA,AAO_DC_N,Decision_Criterion,TRUE,MACHINE,Live,,,
ANS-00000746,A2|Decision_Criterion|a1cWD000005xqqvYAA|a1WWD000002p26t2AA,AAO_DC_N,Decision_Criterion,TRUE,MACHINE,Live,,,
ANS-00000751,A2|Decision_Criterion|a1cWD000005xqqwYAA|a1WWD000002p26t2AA,AAO_DC_N,Decision_Criterion,TRUE,MACHINE,Live,,,
ANS-00000758,A2|Decision_Criterion|a1cWD000005xqqxYAA|a1WWD000002p26t2AA,AAO_DC_N,Decision_Criterion,TRUE,MACHINE,Live,,,
ANS-00000727,A2|Participant|003WD00001Rkp7vYAB|a1WWD000002p5R72AI,AAO_PS_1,Participant,TRUE,MACHINE,Live,1,,Supporter
ANS-00000731,A2|Participant|003WD00001Rkp7vYAB|a1WWD000002p7Kr2AI,AAO_BR_EVAL,Participant,TRUE,MACHINE,Live,,,Evaluator
ANS-00000718,A2|Participant|003WD00001Rkp7vYAB|a1WWD000002tevJ2AQ,AAO_PB_OBST,Participant,TRUE,MACHINE,Live,,,
ANS-00000726,A2|Participant|003WD00001Rkp7vYAB|a1WWD000002tywr2AA,AAO_PB_GOAL,Participant,TRUE,MACHINE,Live,,,
ANS-00000735,A2|Participant|003WD00001Rkp7wYAB|a1WWD000002p5R72AI,AAO_PS_1,Participant,TRUE,MACHINE,Live,1,,Supporter
ANS-00000722,A2|Participant|003WD00001Rkp7wYAB|a1WWD000002p7Kr2AI,AAO_BR_EVAL,Participant,TRUE,MACHINE,Live,,,Evaluator
ANS-00000721,A2|Participant|003WD00001Rkp7wYAB|a1WWD000002tevI2AQ,AAO_PB_INIT,Participant,TRUE,MACHINE,Live,,,
ANS-00000720,A2|Participant|003WD00001Rkp7wYAB|a1WWD000002tevJ2AQ,AAO_PB_OBST,Participant,TRUE,MACHINE,Live,,,
ANS-00000725,A2|Participant|003WD00001Rkp7wYAB|a1WWD000002tywr2AA,AAO_PB_GOAL,Participant,TRUE,MACHINE,Live,,,
ANS-00000754,A2|Participant|003WD00001Rm6CmYAJ|a1WWD000002p26o2AA,AAO_BR_APP,Participant,TRUE,MACHINE,Live,,,Approver
ANS-00000756,A2|Participant|003WD00001Rm6CmYAJ|a1WWD000002p5R72AI,AAO_PS_1,Participant,TRUE,MACHINE,Live,1,,Supporter
ANS-00000755,A2|Participant|003WD00001Rm6CmYAJ|a1WWD000002p7Kr2AI,AAO_BR_EVAL,Participant,TRUE,MACHINE,Live,,,Approver
ANS-00000740,A2|Participant|003WD00001RviCOYAZ|a1WWD000002p5R72AI,AAO_PS_1,Participant,TRUE,MACHINE,Live,1,,Supporter
ANS-00000737,A2|Participant|003WD00001RviCOYAZ|a1WWD000002p7Kr2AI,AAO_BR_EVAL,Participant,TRUE,MACHINE,Live,,,Evaluator
ANS-00000741,A2|Participant|003WD00001RviCOYAZ|a1WWD000002tevI2AQ,AAO_PB_INIT,Participant,TRUE,MACHINE,Live,,,
ANS-00000736,A2|Participant|003WD00001RviCOYAZ|a1WWD000002tevJ2AQ,AAO_PB_OBST,Participant,TRUE,MACHINE,Live,,,
ANS-00000749,A2|Participant|003WD00001RviCPYAZ|a1WWD000002p26h2AA,AAO_POL_IC2,Participant,TRUE,MACHINE,Live,,,Inner Circle
ANS-00000753,A2|Participant|003WD00001RviCPYAZ|a1WWD000002p26k2AA,AAO_POL_PS2,Participant,TRUE,MACHINE,Live,,,Inner Circle
ANS-00000732,A2|Participant|003WD00001RviCPYAZ|a1WWD000002p26o2AA,AAO_BR_APP,Participant,TRUE,MACHINE,Live,,,Signature Approver
ANS-00000748,A2|Participant|003WD00001RviCPYAZ|a1WWD000002p26p2AA,AAO_BR_DM,Participant,TRUE,MACHINE,Live,,,Decision Maker
ANS-00000738,A2|Participant|003WD00001RviCPYAZ|a1WWD000002p26s2AA,AAO_BR_SIG,Participant,TRUE,MACHINE,Live,,,Signature Approver
ANS-00000750,A2|Participant|003WD00001RviCPYAZ|a1WWD000002p5R72AI,AAO_PS_1,Participant,TRUE,MACHINE,Live,1,,Supporter
ANS-00000742,A2|Participant|003WD00001RviCPYAZ|a1WWD000002p7Kr2AI,AAO_BR_EVAL,Participant,TRUE,MACHINE,Live,,,Signature Approver
ANS-00000733,A2|Participant|003WD00001RviCPYAZ|a1WWD000002tevH2AQ,AAO_PB_PRESS,Participant,TRUE,MACHINE,Live,,,
ANS-00000759,A2|Participant|003WD00001RviCPYAZ|a1WWD000002tevI2AQ,AAO_PB_INIT,Participant,TRUE,MACHINE,Live,,,
ANS-00000745,A2|Participant|003WD00001RviCPYAZ|a1WWD000002tevJ2AQ,AAO_PB_OBST,Participant,TRUE,MACHINE,Live,,,
ANS-00000752,A2|Participant|003WD00001RX2SpYAL|a1WWD000002p26r2AA,AAO_BR_USER,Participant,TRUE,MACHINE,Live,,,
ANS-00000728,A2|Participant|003WD00001RX2SpYAL|a1WWD000002p5R72AI,AAO_PS_1,Participant,TRUE,MACHINE,Live,0,,Neutral
ANS-00000729,A2|Participant|003WD00001RX2SpYAL|a1WWD000002p7Kr2AI,AAO_BR_EVAL,Participant,TRUE,MACHINE,Live,,,Evaluator
ANS-00000730,A2|Participant|003WD00001RX2SpYAL|a1WWD000002tevJ2AQ,AAO_PB_OBST,Participant,TRUE,MACHINE,Live,,,
ANS-00000747,A2|Participant|a1ZWD000002bnwh2AA|a1WWD000002p26o2AA,AAO_BR_APP,Participant,TRUE,MACHINE,Live,,a1SWD000005uMFt2AM,Decision Maker
ANS-00000757,A2|Participant|a1ZWD000002bnwh2AA|a1WWD000002p7Kr2AI,AAO_BR_EVAL,Participant,TRUE,MACHINE,Live,,a1SWD000005uMG32AM,Decision Maker
