AAO_Pair_Ref__c,AAO_Evidence_Contract__r.AAO_Proposition_Code__c,AAO_Answer_Text__c,AAO_Start_Offset__c,AAO_End_Offset__c,AAO_Meaning__c,AAO_Coverage__c,AAO_Criterion_Name__c,AAO_About_Designator__c
r2q18,AAO_DC_N,I think the priority is the mapping. I think your intuition is right. We should definitely focus on that.,804,909,CRITERION,Partial,Salesforce native and methodology driven,
r1q8,AAO_BR_USER,We have such a diverse user group within Salesforce where some of us are like Dan and I,1185,1272,USER,Full,,
r2q12,AAO_BR_USER,We have such a diverse user group within Salesforce where some of us are like Dan and I,1185,1272,USER,Full,,
r2q13,AAO_BR_USER,"two reps initially, that was Kayla and Adam, and now it's all 46 users.",3379,3450,USER,Full,,
r1q9,AAO_BR_USER,"two reps initially, that was Kayla and Adam, and now it's all 46 users.",3379,3450,USER,Partial,,
r1q17,AAO_POL_IC1,"the way we treat those accounts varies based on their size and like the... the engagement. So it's never going to be, you know, I would say the ideal thing would be to have two or three key accounts, truly like large volume, large revenue, multi-site accounts for each person, but that's all part of our, you know, growth strategy.",9993,10324,INNER_CIRCLE,Full,,
r1q2,AAO_BR_EVAL,"Would we have to have Agent Force enabled for this to work, or is this a separate add-on as well for your guys' AI?",17299,17414,EVALUATOR,Full,,
r2q9,AAO_BR_EVAL,"Would we have to have Agent Force enabled for this to work, or is this a separate add-on as well for your guys' AI?",17299,17414,EVALUATOR,Full,,
r2q20,AAO_BR_EVAL,"Okay, and the features are basically one-to-one, like whether you go with Max AI Agent Force or use our own Cloud API.",19613,19731,EVALUATOR,Full,,
r2q10,AAO_BR_EVAL,"Just out of curiosity, the columns there, those are obviously configurable. Where do we pull those? Because we have basically 8 practice areas that are products within Salesforce.",26297,26476,EVALUATOR,Full,,
r1q3,AAO_BR_EVAL,"Just out of curiosity, the columns there, those are obviously configurable. Where do we pull those? Because we have basically 8 practice areas that are products within Salesforce.",26297,26476,EVALUATOR,Full,,
r2q11,AAO_BR_EVAL,And these insight maps are visible to multiple users. It's not just like user specific.,39512,39599,EVALUATOR,Full,,
r1q4,AAO_BR_EVAL,And these insight maps are visible to multiple users. It's not just like user specific.,39512,39599,EVALUATOR,Partial,,
r1q15,AAO_POL_PS2,I'm sure we can get that turned on on our Salesforce side for tasks.,44575,44643,POLITICAL_STRUCTURE,Partial,,
r2q1,AAO_PS_1,"I like that. So far, I mean, honestly, I like everything we've seen so far.",45104,45179,SUPPORTER,,,
r1q10,AAO_PS_1,"I like that. So far, I mean, honestly, I like everything we've seen so far.",45104,45179,SUPPORTER,,,
r2q14,AAO_POL_PS1,"If, if, if we get there, I think this is this is our implementation team right here between Kalia and Dan and myself.",49256,49373,POLITICAL_STRUCTURE,Full,,
r1q14,AAO_POL_PS1,I think this is this is our implementation team right here between Kalia and Dan and myself.,49281,49373,POLITICAL_STRUCTURE,Full,,
r1q5,AAO_BR_DM,"It's going to be us, our recommendation, and really just, it'll go to our president, Rich, and then ultimately there's going to be some sort of a approval required from the Perkerwicz and Elmer.",49882,50076,DECISION_MAKER,Full,,
