Id,ALTF__Type__c,ALTF__Short_Description__c,CreatedDate
a0pWD0000043An1YAE,Goal,Close relationship map gaps for sales,2026-08-13T21:28:54.000+0000
a0pWD0000043An3YAE,Pressure,Working within set budget,2026-08-13T21:28:54.000+0000
a0pWD0000043AmyYAE,Initiative,"Introducing self as Emerson, not Aspen Tech",2026-08-13T21:28:54.000+0000
a0pWD0000043An2YAE,Initiative,"Sequence: training, then use, then insights",2026-08-13T21:28:54.000+0000
a0pWD0000043AmzYAE,Obstacle,Multiple touchpoints delay review timelines,2026-08-13T21:28:54.000+0000
a0pWD0000043An0YAE,Obstacle,Close relationship map gaps for sales,2026-08-13T21:28:54.000+0000
a0pWD0000043HgLYAU,Goal,"Need clean MSA, SOW, and order for PO",2026-08-13T21:33:06.000+0000
a0pWD0000043HgOYAU,Pressure,Rising demand for relationship map and insights,2026-08-13T21:33:06.000+0000
a0pWD0000043HgMYAU,Obstacle,CFO approval blocks non-net-110 terms,2026-08-13T21:33:06.000+0000
a0pWD0000043HgNYAU,Obstacle,CFO rejects non-net-110 payment terms,2026-08-13T21:33:06.000+0000
