deal,stage,ordinal,code,question,cause,marker,is_red,because
"AAO DEMO REHEARSAL DEAL","Qualify","null","AAO_BANT_A1","The decision maker is identified","Gating_Unmet","2.0","false","Never established, and this deal's stage could not be ordered against the org's open stages, so the marker cannot be compared. Quiet, and the reason is ours rather than the deal's."
"AAO DEMO REHEARSAL DEAL","Qualify","null","AAO_BANT_A2","The decision maker is engaged","Gating_Unmet","3.0","false","Never established, and this deal's stage could not be ordered against the org's open stages, so the marker cannot be compared. Quiet, and the reason is ours rather than the deal's."
"AAO DEMO REHEARSAL DEAL","Qualify","null","AAO_BANT_A4","Access to the decision maker exists","Gating_Unmet","3.0","false","Never established, and this deal's stage could not be ordered against the org's open stages, so the marker cannot be compared. Quiet, and the reason is ours rather than the deal's."
"AAO DEMO REHEARSAL DEAL","Qualify","null","AAO_BANT_B1","A budget exists for this purchase","Gating_Unmet","2.0","false","Never established, and this deal's stage could not be ordered against the org's open stages, so the marker cannot be compared. Quiet, and the reason is ours rather than the deal's."
"AAO DEMO REHEARSAL DEAL","Qualify","null","AAO_BANT_B2","The budget amount or range is known","Gating_Unmet","3.0","false","Never established, and this deal's stage could not be ordered against the org's open stages, so the marker cannot be compared. Quiet, and the reason is ours rather than the deal's."
"AAO DEMO REHEARSAL DEAL","Qualify","null","AAO_BANT_B3","The budget holder is identified","Gating_Unmet","3.0","false","Never established, and this deal's stage could not be ordered against the org's open stages, so the marker cannot be compared. Quiet, and the reason is ours rather than the deal's."
"AAO DEMO REHEARSAL DEAL","Qualify","null","AAO_BANT_B4","The approval path for funds is understood","Gating_Unmet","3.0","false","Never established, and this deal's stage could not be ordered against the org's open stages, so the marker cannot be compared. Quiet, and the reason is ours rather than the deal's."
"AAO DEMO REHEARSAL DEAL","Qualify","null","AAO_BANT_N3","The consequence of inaction is stated","Gating_Unmet","3.0","false","Never established, and this deal's stage could not be ordered against the org's open stages, so the marker cannot be compared. Quiet, and the reason is ours rather than the deal's."
"AAO DEMO REHEARSAL DEAL","Qualify","null","AAO_BANT_N4","The customer confirms our solution resolves their problem","Gating_Unmet","3.0","false","Never established, and this deal's stage could not be ordered against the org's open stages, so the marker cannot be compared. Quiet, and the reason is ours rather than the deal's."
"AAO DEMO REHEARSAL DEAL","Qualify","null","AAO_BANT_T1","A target date exists","Gating_Unmet","2.0","false","Never established, and this deal's stage could not be ordered against the org's open stages, so the marker cannot be compared. Quiet, and the reason is ours rather than the deal's."
"AAO DEMO REHEARSAL DEAL","Qualify","null","AAO_BANT_T2","A compelling event drives the date","Gating_Unmet","3.0","false","Never established, and this deal's stage could not be ordered against the org's open stages, so the marker cannot be compared. Quiet, and the reason is ours rather than the deal's."
"AAO DEMO REHEARSAL DEAL","Qualify","null","AAO_BANT_T4","The timeline is confirmed by the decision maker","Gating_Unmet","4.0","false","Never established, and this deal's stage could not be ordered against the org's open stages, so the marker cannot be compared. Quiet, and the reason is ours rather than the deal's."
"AAO PROOF - denied and computed","Stage 2","2","AAO_BANT_A3","The approval chain is understood","Established_False","3.0","true","The customer voiced the negative and it stands as an establishment in their own words. A voiced no reds at any stage."
"AAO PROOF - denied and computed","Stage 2","2","AAO_BANT_B1","A budget exists for this purchase","Established_False","2.0","true","The customer voiced the negative and it stands as an establishment in their own words. A voiced no reds at any stage."
"AAO PROOF - denied and computed","Stage 2","2","AAO_BANT_B2","The budget amount or range is known","Gating_Unmet","3.0","false","Not established yet, and the deal is at stage 2 against a marker of 3. Unknown here is quiet and lawful."
"AAO PROOF - denied and computed","Stage 2","2","AAO_BANT_N3","The consequence of inaction is stated","Gating_Unmet","3.0","false","Not established yet, and the deal is at stage 2 against a marker of 3. Unknown here is quiet and lawful."
"AAO PROOF - denied and computed","Stage 2","2","AAO_BANT_N4","The customer confirms our solution resolves their problem","Gating_Unmet","3.0","false","Not established yet, and the deal is at stage 2 against a marker of 3. Unknown here is quiet and lawful."
"AAO PROOF - denied and computed","Stage 2","2","AAO_BANT_T1","A target date exists","Gating_Unmet","2.0","true","Unknown past stage 2. Nobody has established this and the deal has reached the stage by which it should have been known."
"AAO PROOF - denied and computed","Stage 2","2","AAO_BANT_T2","A compelling event drives the date","Gating_Unmet","3.0","false","Not established yet, and the deal is at stage 2 against a marker of 3. Unknown here is quiet and lawful."
"AAO PROOF - denied and computed","Stage 2","2","AAO_BANT_T4","The timeline is confirmed by the decision maker","Gating_Unmet","4.0","false","Not established yet, and the deal is at stage 2 against a marker of 4. Unknown here is quiet and lawful."
