AAO_Opportunity__r.Name,AAO_Evidence_Contract__r.AAO_Proposition_Code__c,AAO_State__c,AAO_Cause__c,AAO_Raised_At__c,AAO_Cleared_At__c
AAO DEMO REHEARSAL DEAL,,Cleared,Identity_Unresolved,2026-08-18T18:24:58.000+0000,2026-08-18T19:25:41.000+0000
AAO DEMO REHEARSAL DEAL,AAO_BANT_A1,Standing,Gating_Unmet,2026-08-18T18:07:46.000+0000,
AAO DEMO REHEARSAL DEAL,AAO_BANT_A2,Standing,Gating_Unmet,2026-08-18T18:07:46.000+0000,
AAO DEMO REHEARSAL DEAL,AAO_BANT_A3,Cleared,Gating_Unmet,2026-08-18T18:07:46.000+0000,2026-08-19T23:47:11.000+0000
AAO DEMO REHEARSAL DEAL,AAO_BANT_A4,Standing,Gating_Unmet,2026-08-18T18:07:46.000+0000,
AAO DEMO REHEARSAL DEAL,AAO_BANT_B1,Standing,Gating_Unmet,2026-08-18T18:07:46.000+0000,
AAO DEMO REHEARSAL DEAL,AAO_BANT_B2,Standing,Gating_Unmet,2026-08-18T18:07:46.000+0000,
AAO DEMO REHEARSAL DEAL,AAO_BANT_B3,Standing,Gating_Unmet,2026-08-18T18:07:46.000+0000,
AAO DEMO REHEARSAL DEAL,AAO_BANT_B4,Standing,Gating_Unmet,2026-08-18T18:07:46.000+0000,
AAO DEMO REHEARSAL DEAL,AAO_BANT_N1,Cleared,Gating_Unmet,2026-08-18T18:07:46.000+0000,2026-08-19T23:47:11.000+0000
AAO DEMO REHEARSAL DEAL,AAO_BANT_N2,Cleared,Gating_Unmet,2026-08-18T18:07:46.000+0000,2026-08-19T23:47:11.000+0000
AAO DEMO REHEARSAL DEAL,AAO_BANT_N3,Standing,Gating_Unmet,2026-08-18T18:07:46.000+0000,
AAO DEMO REHEARSAL DEAL,AAO_BANT_N4,Standing,Gating_Unmet,2026-08-18T18:07:46.000+0000,
AAO DEMO REHEARSAL DEAL,AAO_BANT_T1,Standing,Gating_Unmet,2026-08-18T18:07:46.000+0000,
AAO DEMO REHEARSAL DEAL,AAO_BANT_T2,Standing,Gating_Unmet,2026-08-18T18:07:46.000+0000,
AAO DEMO REHEARSAL DEAL,AAO_BANT_T4,Standing,Gating_Unmet,2026-08-18T18:07:46.000+0000,
AAO DEMO REHEARSAL DEAL,AAO_T1,Standing,Gating_Unmet,2026-08-18T18:07:46.000+0000,
AAO DEMO REHEARSAL DEAL,AAO_T2,Standing,Gating_Unmet,2026-08-18T18:07:46.000+0000,
AAO PROOF - denied and computed,AAO_BANT_A1,Cleared,Gating_Unmet,2026-08-19T22:33:21.000+0000,2026-08-19T23:47:11.000+0000
AAO PROOF - denied and computed,AAO_BANT_A2,Cleared,Gating_Unmet,2026-08-19T22:33:21.000+0000,2026-08-19T23:47:11.000+0000
AAO PROOF - denied and computed,AAO_BANT_A3,Standing,Established_False,2026-08-19T22:33:21.000+0000,
AAO PROOF - denied and computed,AAO_BANT_A4,Cleared,Gating_Unmet,2026-08-19T22:33:21.000+0000,2026-08-19T23:47:11.000+0000
AAO PROOF - denied and computed,AAO_BANT_B1,Standing,Established_False,2026-08-19T22:33:21.000+0000,
AAO PROOF - denied and computed,AAO_BANT_B2,Standing,Gating_Unmet,2026-08-19T22:33:21.000+0000,
AAO PROOF - denied and computed,AAO_BANT_B3,Cleared,Gating_Unmet,2026-08-19T22:33:21.000+0000,2026-08-19T23:47:11.000+0000
AAO PROOF - denied and computed,AAO_BANT_B4,Cleared,Gating_Unmet,2026-08-19T22:33:21.000+0000,2026-08-19T23:47:11.000+0000
AAO PROOF - denied and computed,AAO_BANT_N1,Cleared,Gating_Unmet,2026-08-19T22:33:21.000+0000,2026-08-19T23:47:11.000+0000
AAO PROOF - denied and computed,AAO_BANT_N2,Cleared,Gating_Unmet,2026-08-19T22:33:21.000+0000,2026-08-19T23:47:11.000+0000
AAO PROOF - denied and computed,AAO_BANT_N3,Standing,Gating_Unmet,2026-08-19T22:33:21.000+0000,
AAO PROOF - denied and computed,AAO_BANT_N4,Standing,Gating_Unmet,2026-08-19T22:33:21.000+0000,
AAO PROOF - denied and computed,AAO_BANT_T1,Standing,Gating_Unmet,2026-08-19T22:33:21.000+0000,
AAO PROOF - denied and computed,AAO_BANT_T2,Standing,Gating_Unmet,2026-08-19T22:33:21.000+0000,
AAO PROOF - denied and computed,AAO_BANT_T4,Standing,Gating_Unmet,2026-08-19T22:33:21.000+0000,
AAO PROOF - denied and computed,AAO_T1,Standing,Gating_Unmet,2026-08-19T22:33:21.000+0000,
AAO PROOF - denied and computed,AAO_T2,Standing,Gating_Unmet,2026-08-19T22:33:21.000+0000,
