deal,stage,code,question,state,display,citation,because
"AAO DEMO REHEARSAL DEAL","Qualify (outside the open stages, so no by-stage flag can fire)","AAO_BANT_A1","The decision maker is identified","BLANK","","","Never established, and this deal's stage could not be ordered against the org's open stages, so the marker cannot be compared. Quiet, and the reason is ours rather than the deal's."
"AAO DEMO REHEARSAL DEAL","Qualify (outside the open stages, so no by-stage flag can fire)","AAO_BANT_A2","The decision maker is engaged","BLANK","","","Never established, and this deal's stage could not be ordered against the org's open stages, so the marker cannot be compared. Quiet, and the reason is ours rather than the deal's."
"AAO DEMO REHEARSAL DEAL","Qualify (outside the open stages, so no by-stage flag can fire)","AAO_BANT_A3","The approval chain is understood","AFFIRMED","Yes","Dana Okafor: ""Our enablement lead, Priya. If she doesn't buy it, adoption won't happen no matter what I say.""",""
"AAO DEMO REHEARSAL DEAL","Qualify (outside the open stages, so no by-stage flag can fire)","AAO_BANT_A4","Access to the decision maker exists","BLANK","","","Never established, and this deal's stage could not be ordered against the org's open stages, so the marker cannot be compared. Quiet, and the reason is ours rather than the deal's."
"AAO DEMO REHEARSAL DEAL","Qualify (outside the open stages, so no by-stage flag can fire)","AAO_BANT_B1","A budget exists for this purchase","BLANK","","","Never established, and this deal's stage could not be ordered against the org's open stages, so the marker cannot be compared. Quiet, and the reason is ours rather than the deal's."
"AAO DEMO REHEARSAL DEAL","Qualify (outside the open stages, so no by-stage flag can fire)","AAO_BANT_B2","The budget amount or range is known","BLANK","","","Never established, and this deal's stage could not be ordered against the org's open stages, so the marker cannot be compared. Quiet, and the reason is ours rather than the deal's."
"AAO DEMO REHEARSAL DEAL","Qualify (outside the open stages, so no by-stage flag can fire)","AAO_BANT_B3","The budget holder is identified","BLANK","","","Never established, and this deal's stage could not be ordered against the org's open stages, so the marker cannot be compared. Quiet, and the reason is ours rather than the deal's."
"AAO DEMO REHEARSAL DEAL","Qualify (outside the open stages, so no by-stage flag can fire)","AAO_BANT_B4","The approval path for funds is understood","BLANK","","","Never established, and this deal's stage could not be ordered against the org's open stages, so the marker cannot be compared. Quiet, and the reason is ours rather than the deal's."
"AAO DEMO REHEARSAL DEAL","Qualify (outside the open stages, so no by-stage flag can fire)","AAO_BANT_N1","A business problem is confirmed in the customer's words","AFFIRMED","Yes","Dana Okafor: ""our forecast is off by around twenty percent every quarter. I can't tell you which deals are real until they either close or die.""",""
"AAO DEMO REHEARSAL DEAL","Qualify (outside the open stages, so no by-stage flag can fire)","AAO_BANT_N2","The problem is quantified","AFFIRMED","Yes","Dana Okafor: ""We lost about one point two million in slipped deals last year that looked green in the system right up until they slipped.""",""
"AAO DEMO REHEARSAL DEAL","Qualify (outside the open stages, so no by-stage flag can fire)","AAO_BANT_N3","The consequence of inaction is stated","BLANK","","","Never established, and this deal's stage could not be ordered against the org's open stages, so the marker cannot be compared. Quiet, and the reason is ours rather than the deal's."
"AAO DEMO REHEARSAL DEAL","Qualify (outside the open stages, so no by-stage flag can fire)","AAO_BANT_N4","The customer confirms our solution resolves their problem","BLANK","","","Never established, and this deal's stage could not be ordered against the org's open stages, so the marker cannot be compared. Quiet, and the reason is ours rather than the deal's."
"AAO DEMO REHEARSAL DEAL","Qualify (outside the open stages, so no by-stage flag can fire)","AAO_BANT_T1","A target date exists","BLANK","","","Never established, and this deal's stage could not be ordered against the org's open stages, so the marker cannot be compared. Quiet, and the reason is ours rather than the deal's."
