AAO_Pair_Ref__c,AAO_Evidence_Contract__r.AAO_Proposition_Code__c,AAO_Answer_Text__c,AAO_Start_Offset__c,AAO_End_Offset__c,AAO_Meaning__c,AAO_Coverage__c,AAO_Criterion_Name__c,AAO_About_Designator__c
r2q11,AAO_BR_USER,We have such a diverse user group within Salesforce where some of us are like Dan and I,1185,1272,USER,Full,,
r1q12,AAO_BR_USER,We have such a diverse user group within Salesforce where some of us are like Dan and I,1185,1272,USER,Full,,
r1q22,AAO_POL_IC1,"one of them hit 90 million company-wide sales target this year. This is measured on sales booked, not converted revenue. Did I hear that correctly, Adam, when you shared that?",2668,2843,INNER_CIRCLE,Full,,
r2q13,AAO_POL_IC1,"hit 90 million company-wide sales target this year. This is measured on sales booked, not converted revenue",2680,2787,INNER_CIRCLE,Partial,,
r1q23,AAO_POL_IC1,"Yeah, some variance of that. I think we revised our AOP recently, but like let's for the sake of this discussion, that's the perfect number.",2858,2998,INNER_CIRCLE,Full,,
r2q14,AAO_POL_IC1,"Yeah, some variance of that. I think we revised our AOP recently, but like let's for the sake of this discussion, that's the perfect number.",2858,2998,INNER_CIRCLE,Partial,,
r1q13,AAO_BR_USER,"two reps initially, that was Kayla and Adam, and now it's all 46 users.",3379,3450,USER,Partial,,
r2q21,AAO_BR_USER,"two reps initially, that was Kayla and Adam, and now it's all 46 users.",3379,3450,USER,Full,,
r2q15,AAO_BR_EVAL,"Would we have to have Agent Force enabled for this to work, or is this a separate add-on as well for your guys' AI?",17299,17414,EVALUATOR,Full,,
r1q2,AAO_BR_EVAL,"Okay, is it an extra add-on to have the max AI ability or is that just included?",19348,19428,EVALUATOR,Full,,
r2q16,AAO_BR_EVAL,"Okay, and the features are basically one-to-one, like whether you go with Max AI Agent Force or use our own Cloud API.",19613,19731,EVALUATOR,Full,,
r2q9,AAO_BR_EVAL,"Just out of curiosity, the columns there, those are obviously configurable. Where do we pull those? Because we have basically 8 practice areas that are products within Salesforce.",26297,26476,EVALUATOR,Full,,
r1q3,AAO_BR_EVAL,"Just out of curiosity, the columns there, those are obviously configurable. Where do we pull those? Because we have basically 8 practice areas that are products within Salesforce.",26297,26476,EVALUATOR,Full,,
r1q5,AAO_BR_EVAL,And these insight maps are visible to multiple users. It's not just like user specific.,39512,39599,EVALUATOR,Partial,,
r2q17,AAO_BR_EVAL,And these insight maps are visible to multiple users. It's not just like user specific.,39512,39599,EVALUATOR,Full,,
r1q15,AAO_POL_PS2,but I'm sure we can get that turned on on our Salesforce side for tasks.,44571,44643,POLITICAL_STRUCTURE,Full,,
r2q18,AAO_POL_PS2,I'm sure we can get that turned on on our Salesforce side for tasks.,44575,44643,POLITICAL_STRUCTURE,Partial,,
r1q17,AAO_PS_1,"I like that. So far, I mean, honestly, I like everything we've seen so far.",45104,45179,SUPPORTER,,,
r2q2,AAO_PS_1,"So far, I mean, honestly, I like everything we've seen so far.",45117,45179,SUPPORTER,,,
r1q4,AAO_BR_EVAL,"how would your kind of, you know, over the top layering of Altify into our Salesforce instance, knowing that it's like broader than just Project Pharma?",46193,46345,EVALUATOR,Full,,
r2q12,AAO_POL_PS1,I think this is this is our implementation team right here between Kalia and Dan and myself.,49281,49373,POLITICAL_STRUCTURE,Full,,
r1q11,AAO_POL_PS1,I think this is this is our implementation team right here between Kalia and Dan and myself.,49281,49373,POLITICAL_STRUCTURE,Full,,
r1q8,AAO_BR_APP,"It's going to be us, our recommendation, and really just, it'll go to our president, Rich, and then ultimately there's going to be some sort of a approval required from the Perkerwicz and Elmer.",49882,50076,APPROVER,Partial,,Rich
r2q3,AAO_PS_1,"It's going to be us, our recommendation, and really just, it'll go to our president, Rich, and then ultimately there's going to be some sort of a approval required from the Perkerwicz and Elmer. There's an advisory committee for kind of new platforms, especially those that leverage AI.",49882,50168,MENTOR,,,
r2q4,AAO_BR_DM,"It's going to be us, our recommendation, and really just, it'll go to our president, Rich",49882,49971,DECISION_MAKER,Full,,
r1q6,AAO_BR_DM,"It's going to be us, our recommendation, and really just, it'll go to our president, Rich, and then ultimately there's going to be some sort of a approval required from the Perkerwicz and Elmer.",49882,50076,DECISION_MAKER,Full,,
r1q9,AAO_BR_APP,"There's an advisory committee for kind of new platforms, especially those that leverage AI. So there would be some approval required",50077,50209,APPROVER,Full,,advisory committee
r2q6,AAO_BR_APP,"So there would be some approval required, but I mean ultimately upon the recommendation from us and Rich",50169,50273,APPROVER,Full,,advisory committee
r1q7,AAO_BR_DM,"but I mean ultimately upon the recommendation from us and Rich, like that's kind of just a formality, right?",50211,50319,DECISION_MAKER,Partial,,Rich
r2q5,AAO_BR_APP,"upon the recommendation from us and Rich, like that's kind of just a formality",50233,50311,APPROVER,Partial,,Rich
r1q19,AAO_PS_1,"So, so far, the feedback's been, from what I've seen, has been pretty good. And so, yeah, we're starting, I guess, with the best from the rankings.",50944,51091,SUPPORTER,,,
r2q7,AAO_BR_EVAL,we'll be looking at other options,51100,51133,EVALUATOR,Full,,
r2q8,AAO_BR_EVAL,"over the next couple of weeks and comparing what you guys offer to them and especially the pricing. I know we haven't got to that point, but I think it would be good to kind of go over the pricing model and how that would, how that would shake out.",51165,51413,EVALUATOR,Full,,
r1q14,AAO_POL_PS3,Me and Dan report to Kalia.,55652,55679,POLITICAL_STRUCTURE,Full,,
r1q25,AAO_BR_EVAL,I did have a question on how it kind of works with Altify since it's natively in Salesforce and not everyone will have an Altify C.,59028,59159,EVALUATOR,Full,,
r2q23,AAO_BR_EVAL,I did have a question on how it kind of works with Altify since it's natively in Salesforce and not everyone will have an Altify C.,59028,59159,EVALUATOR,Full,,
r2q20,AAO_POL_PS2,I was just kind of curious on how much of A lift it's going to be for Kayla to get approval from Perkerwicz and Elmer,61110,61227,POLITICAL_STRUCTURE,Full,,Kayla
r2q22,AAO_PS_1,"I will say we haven't like signed any sort of an NDA with you. And if we're going to just share anything like that, it may be good to have that in place before we do.",62607,62773,MENTOR,,,
r1q18,AAO_PS_1,"I think Perkerwicz and Elmer will view that sort of like if we're saying which fields are we looking to actually access to import into the Altify solution. I don't, there's nothing that I would think they would weigh is like this is proprietary and not to be shared",63702,63967,MENTOR,,,
r2q19,AAO_POL_PS2,"And our opportunities are all a project pharma specific template. So our opportunity template is different than one source, which is different than everybody else. So like if we knew to adjust and change ours as this is going, it's only going to affect project pharma opportunities",64216,64497,POLITICAL_STRUCTURE,Full,,
r2q1,AAO_PS_1,"I mean, you know, full transparency, like if we were going to jump today, like you're the leader in the clubhouse for sure.",65191,65314,SUPPORTER,,,
r1q16,AAO_PS_1,"full transparency, like if we were going to jump today, like you're the leader in the clubhouse for sure. But there's also pricing and other things that kind of make that contingent.",65209,65391,SUPPORTER,,,
r2q10,AAO_DC_N,"like if we were going to jump today, like you're the leader in the clubhouse for sure. But there's also pricing and other things that kind of make that contingent.",65228,65391,CRITERION,Full,Competitive pricing,
r1q20,AAO_DC_N,"if we were going to jump today, like you're the leader in the clubhouse for sure. But there's also pricing and other things that kind of make that contingent.",65233,65391,CRITERION,Full,Competitive pricing,
r1q21,AAO_DC_N,"Yeah, yeah, I think we both know the answer to that. So, well played.",67825,67894,CRITERION,Partial,Salesforce native and methodology driven,
