N/A        emerson-q1 [MUST_APPEAR] keyed to ec8e7170, not this artifact
N/A        emerson-q9 [MUST_APPEAR] keyed to ec8e7170, not this artifact
N/A        emerson-q13 [CORRECT_REFUSAL] keyed to ec8e7170, not this artifact
N/A        under-1-neeraja-supporter [GRADED_MISS] keyed to ec8e7170, not this artifact
N/A        under-2-neeraja-political [GRADED_MISS] keyed to ec8e7170, not this artifact
N/A        under-3-neeraja-approver [GRADED_MISS] keyed to ec8e7170, not this artifact
N/A        under-5-neeraja-political [GRADED_MISS] keyed to ec8e7170, not this artifact
N/A        under-6-neeraja-supporter [GRADED_MISS] keyed to ec8e7170, not this artifact
N/A        under-8-jefferson-supporter [GRADED_MISS] keyed to ec8e7170, not this artifact
N/A        under-4-neeraja-orientation [UNREACHABLE] keyed to ec8e7170, not this artifact
N/A        under-7-neeraja-orientation [UNREACHABLE] keyed to ec8e7170, not this artifact
N/A        under-8-jefferson-orientation [UNREACHABLE] keyed to ec8e7170, not this artifact
N/A        poq1 [MUST_APPEAR] keyed to ec8e7170, not this artifact
N/A        seq6 [MUST_APPEAR] keyed to ec8e7170, not this artifact
N/A        poq7 [MUST_APPEAR] keyed to ec8e7170, not this artifact
N/A        seq2 [MUST_APPEAR] keyed to ec8e7170, not this artifact
N/A        buq3 [MUST_APPEAR] keyed to ec8e7170, not this artifact
N/A        buq4 [MUST_APPEAR] keyed to ec8e7170, not this artifact
N/A        deq1 [MUST_APPEAR] keyed to ec8e7170, not this artifact
N/A        deq2 [MUST_APPEAR] keyed to ec8e7170, not this artifact
N/A        buq2 [MUST_APPEAR] keyed to ec8e7170, not this artifact
N/A        buq5 [MUST_APPEAR] keyed to ec8e7170, not this artifact
N/A        buq6 [MUST_APPEAR] keyed to ec8e7170, not this artifact
N/A        buq8 [MUST_APPEAR] keyed to ec8e7170, not this artifact
N/A        deq6 [MUST_APPEAR] keyed to ec8e7170, not this artifact
N/A        buq7 [MUST_APPEAR] keyed to ec8e7170, not this artifact
N/A        seq4 [MUST_APPEAR] keyed to ec8e7170, not this artifact
N/A        deq4 [MUST_APPEAR] keyed to ec8e7170, not this artifact
N/A        deq3 [MUST_APPEAR] keyed to ec8e7170, not this artifact
N/A        deq5 [MUST_APPEAR] keyed to ec8e7170, not this artifact
N/A        map-jefferson-mentor-approvers [MUST_APPEAR] keyed to ec8e7170, not this artifact
N/A        map-jefferson-mentor-material [MUST_APPEAR] keyed to ec8e7170, not this artifact
N/A        map-jefferson-ps2-forward [MUST_APPEAR] keyed to ec8e7170, not this artifact
N/A        trap-seq11-courtesy [MUST_NOT_APPEAR] keyed to ec8e7170, not this artifact
N/A        trap-s1-over-ashley [MUST_NOT_APPEAR] keyed to bv/biweekly-2026-06-24-nf1, not this artifact
N/A        trap-s1-over-robbin [MUST_NOT_APPEAR] keyed to bv/biweekly-2026-06-24-nf1, not this artifact
N/A        trap-mentor-adam [MUST_NOT_APPEAR] keyed to bv/biweekly-2026-06-24-nf1, not this artifact
N/A        trap-mentor-robbin [MUST_NOT_APPEAR] keyed to bv/biweekly-2026-06-24-nf1, not this artifact
N/A        trap-mentor-ashley [MUST_NOT_APPEAR] keyed to bv/biweekly-2026-06-24-nf1, not this artifact

universe 39 | checked 0 | held 0 | not applicable 39 | lines 39
