AAO_Proposition_Code__c,AAO_Rubric_Version__c,AAO_Contract_State__c,AAO_Retired_Because__c
AAO_T1,discovered-v1,Retired,"An experiment's output, kept as the record of the first discovered mint and never live in a pass. Minted 31 July at mini-0.1.0 and again at discovered-v1; no declared set has ever carried either version, and every row declares no family and no charter designation, so no pass could reach them. Retired with that reason rather than as Superseded, which would claim a succession that never happened. The claims and answers standing on these contracts are untouched history, the STAGE B pair on AAO_T3 specifically."
AAO_T2,discovered-v1,Retired,"An experiment's output, kept as the record of the first discovered mint and never live in a pass. Minted 31 July at mini-0.1.0 and again at discovered-v1; no declared set has ever carried either version, and every row declares no family and no charter designation, so no pass could reach them. Retired with that reason rather than as Superseded, which would claim a succession that never happened. The claims and answers standing on these contracts are untouched history, the STAGE B pair on AAO_T3 specifically."
AAO_T3,discovered-v1,Retired,"An experiment's output, kept as the record of the first discovered mint and never live in a pass. Minted 31 July at mini-0.1.0 and again at discovered-v1; no declared set has ever carried either version, and every row declares no family and no charter designation, so no pass could reach them. Retired with that reason rather than as Superseded, which would claim a succession that never happened. The claims and answers standing on these contracts are untouched history, the STAGE B pair on AAO_T3 specifically."
AAO_T4,discovered-v1,Retired,"An experiment's output, kept as the record of the first discovered mint and never live in a pass. Minted 31 July at mini-0.1.0 and again at discovered-v1; no declared set has ever carried either version, and every row declares no family and no charter designation, so no pass could reach them. Retired with that reason rather than as Superseded, which would claim a succession that never happened. The claims and answers standing on these contracts are untouched history, the STAGE B pair on AAO_T3 specifically."
AAO_T5,discovered-v1,Retired,"An experiment's output, kept as the record of the first discovered mint and never live in a pass. Minted 31 July at mini-0.1.0 and again at discovered-v1; no declared set has ever carried either version, and every row declares no family and no charter designation, so no pass could reach them. Retired with that reason rather than as Superseded, which would claim a succession that never happened. The claims and answers standing on these contracts are untouched history, the STAGE B pair on AAO_T3 specifically."
AAO_T6,discovered-v1,Retired,"An experiment's output, kept as the record of the first discovered mint and never live in a pass. Minted 31 July at mini-0.1.0 and again at discovered-v1; no declared set has ever carried either version, and every row declares no family and no charter designation, so no pass could reach them. Retired with that reason rather than as Superseded, which would claim a succession that never happened. The claims and answers standing on these contracts are untouched history, the STAGE B pair on AAO_T3 specifically."
AAO_T1,mini-0.1.0,Retired,"An experiment's output, kept as the record of the first discovered mint and never live in a pass. Minted 31 July at mini-0.1.0 and again at discovered-v1; no declared set has ever carried either version, and every row declares no family and no charter designation, so no pass could reach them. Retired with that reason rather than as Superseded, which would claim a succession that never happened. The claims and answers standing on these contracts are untouched history, the STAGE B pair on AAO_T3 specifically."
AAO_T2,mini-0.1.0,Retired,"An experiment's output, kept as the record of the first discovered mint and never live in a pass. Minted 31 July at mini-0.1.0 and again at discovered-v1; no declared set has ever carried either version, and every row declares no family and no charter designation, so no pass could reach them. Retired with that reason rather than as Superseded, which would claim a succession that never happened. The claims and answers standing on these contracts are untouched history, the STAGE B pair on AAO_T3 specifically."
AAO_T3,mini-0.1.0,Retired,"An experiment's output, kept as the record of the first discovered mint and never live in a pass. Minted 31 July at mini-0.1.0 and again at discovered-v1; no declared set has ever carried either version, and every row declares no family and no charter designation, so no pass could reach them. Retired with that reason rather than as Superseded, which would claim a succession that never happened. The claims and answers standing on these contracts are untouched history, the STAGE B pair on AAO_T3 specifically."
AAO_T4,mini-0.1.0,Retired,"An experiment's output, kept as the record of the first discovered mint and never live in a pass. Minted 31 July at mini-0.1.0 and again at discovered-v1; no declared set has ever carried either version, and every row declares no family and no charter designation, so no pass could reach them. Retired with that reason rather than as Superseded, which would claim a succession that never happened. The claims and answers standing on these contracts are untouched history, the STAGE B pair on AAO_T3 specifically."
AAO_T5,mini-0.1.0,Retired,"An experiment's output, kept as the record of the first discovered mint and never live in a pass. Minted 31 July at mini-0.1.0 and again at discovered-v1; no declared set has ever carried either version, and every row declares no family and no charter designation, so no pass could reach them. Retired with that reason rather than as Superseded, which would claim a succession that never happened. The claims and answers standing on these contracts are untouched history, the STAGE B pair on AAO_T3 specifically."
AAO_T6,mini-0.1.0,Retired,"An experiment's output, kept as the record of the first discovered mint and never live in a pass. Minted 31 July at mini-0.1.0 and again at discovered-v1; no declared set has ever carried either version, and every row declares no family and no charter designation, so no pass could reach them. Retired with that reason rather than as Superseded, which would claim a succession that never happened. The claims and answers standing on these contracts are untouched history, the STAGE B pair on AAO_T3 specifically."
