Name,AAO_Answer_Key__c,AAO_Evidence_Contract__r.AAO_Proposition_Code__c,AAO_Subject_Type__c,AAO_Verdict__c,AAO_Established_By__c,AAO_Publication_State__c,AAO_Support_Counter__c,AAO_Superseded_By__c,AAO_Projected_Value__c
ANS-00000706,A2|Decision_Criterion|a1cWD000005wtsTYAQ|a1WWD000002p26t2AA,AAO_DC_N,Decision_Criterion,TRUE,MACHINE,Live,,,
ANS-00000707,A2|Decision_Criterion|a1cWD000005wtsTYAQ|a1WWD000002p26v2AA,AAO_DC_R,Decision_Criterion,TRUE,MACHINE,Live,,,
ANS-00000716,A2|Decision_Criterion|a1cWD000005wtsVYAQ|a1WWD000002p26t2AA,AAO_DC_N,Decision_Criterion,TRUE,MACHINE,Live,,,
ANS-00000714,A2|Decision_Criterion|a1cWD000005wtsWYAQ|a1WWD000002p26t2AA,AAO_DC_N,Decision_Criterion,TRUE,MACHINE,Live,,,
ANS-00000675,A2|Decision_Criterion|a1cWD000005wuDSYAY|a1WWD000002p26t2AA,AAO_DC_N,Decision_Criterion,TRUE,MACHINE,Live,,,
ANS-00000709,A2|Decision_Criterion|a1cWD000005wvO1YAI|a1WWD000002p26t2AA,AAO_DC_N,Decision_Criterion,TRUE,MACHINE,Live,,,
ANS-00000676,A2|Decision_Criterion|a1cWD000005x2apYAA|a1WWD000002p26t2AA,AAO_DC_N,Decision_Criterion,TRUE,MACHINE,Live,,,
ANS-00000699,A2|Decision_Criterion|a1cWD000005xm7UYAQ|a1WWD000002p26t2AA,AAO_DC_N,Decision_Criterion,TRUE,MACHINE,Live,,,
ANS-00000700,A2|Decision_Criterion|a1cWD000005xm7UYAQ|a1WWD000002p26v2AA,AAO_DC_R,Decision_Criterion,TRUE,MACHINE,Live,,,
ANS-00000703,A2|Decision_Criterion|a1cWD000005xm7VYAQ|a1WWD000002p26t2AA,AAO_DC_N,Decision_Criterion,TRUE,MACHINE,Live,,,
ANS-00000679,A2|Decision_Criterion|a1cWD000005xqKfYAI|a1WWD000002p26t2AA,AAO_DC_N,Decision_Criterion,TRUE,MACHINE,Live,,,
ANS-00000690,A2|Participant|003WD00001Rkp7vYAB|a1WWD000002p5R72AI,AAO_PS_1,Participant,TRUE,MACHINE,Live,1,,Supporter
ANS-00000696,A2|Participant|003WD00001Rkp7vYAB|a1WWD000002tevH2AQ,AAO_PB_PRESS,Participant,TRUE,MACHINE,Live,,,
ANS-00000680,A2|Participant|003WD00001Rkp7vYAB|a1WWD000002tevI2AQ,AAO_PB_INIT,Participant,TRUE,MACHINE,Live,,,
ANS-00000691,A2|Participant|003WD00001Rkp7vYAB|a1WWD000002tevJ2AQ,AAO_PB_OBST,Participant,TRUE,MACHINE,Live,,,
ANS-00000684,A2|Participant|003WD00001Rkp7vYAB|a1WWD000002tywr2AA,AAO_PB_GOAL,Participant,TRUE,MACHINE,Live,,,
ANS-00000694,A2|Participant|003WD00001Rkp7wYAB|a1WWD000002p26j2AA,AAO_POL_PS1,Participant,TRUE,MACHINE,Live,,,Political Structure
ANS-00000705,A2|Participant|003WD00001Rkp7wYAB|a1WWD000002p5R72AI,AAO_PS_1,Participant,TRUE,MACHINE,Live,1,,Supporter
ANS-00000692,A2|Participant|003WD00001Rkp7wYAB|a1WWD000002p7Kr2AI,AAO_BR_EVAL,Participant,TRUE,MACHINE,Live,,,Evaluator
ANS-00000697,A2|Participant|003WD00001Rkp7wYAB|a1WWD000002tevI2AQ,AAO_PB_INIT,Participant,TRUE,MACHINE,Live,,,
ANS-00000698,A2|Participant|003WD00001Rkp7wYAB|a1WWD000002tevJ2AQ,AAO_PB_OBST,Participant,TRUE,MACHINE,Live,,,
ANS-00000693,A2|Participant|003WD00001Rkp7wYAB|a1WWD000002tywr2AA,AAO_PB_GOAL,Participant,TRUE,MACHINE,Live,,,
ANS-00000682,A2|Participant|003WD00001Rm6CmYAJ|a1WWD000002p26o2AA,AAO_BR_APP,Participant,TRUE,MACHINE,Live,,,Approver
ANS-00000683,A2|Participant|003WD00001Rm6CmYAJ|a1WWD000002p5R72AI,AAO_PS_1,Participant,TRUE,MACHINE,Live,1,,Supporter
ANS-00000681,A2|Participant|003WD00001Rm6CmYAJ|a1WWD000002p7Kr2AI,AAO_BR_EVAL,Participant,TRUE,MACHINE,Live,,,Approver
ANS-00000677,A2|Participant|003WD00001RvcgiYAB|a1WWD000002p26h2AA,AAO_POL_IC2,Participant,TRUE,MACHINE,Live,,,Inner Circle
ANS-00000687,A2|Participant|003WD00001RvcgiYAB|a1WWD000002p26o2AA,AAO_BR_APP,Participant,TRUE,MACHINE,Live,,,Decision Maker
ANS-00000688,A2|Participant|003WD00001RvcgiYAB|a1WWD000002p26p2AA,AAO_BR_DM,Participant,TRUE,MACHINE,Live,,,Decision Maker
ANS-00000704,A2|Participant|003WD00001RvcgiYAB|a1WWD000002p26s2AA,AAO_BR_SIG,Participant,TRUE,MACHINE,Live,,,
ANS-00000686,A2|Participant|003WD00001RvcgiYAB|a1WWD000002p5R72AI,AAO_PS_1,Participant,TRUE,MACHINE,Live,1,,Supporter
ANS-00000685,A2|Participant|003WD00001RvcgiYAB|a1WWD000002p7Kr2AI,AAO_BR_EVAL,Participant,TRUE,MACHINE,Live,,,Decision Maker
ANS-00000717,A2|Participant|003WD00001RvcgiYAB|a1WWD000002tevH2AQ,AAO_PB_PRESS,Participant,TRUE,MACHINE,Live,,,
ANS-00000689,A2|Participant|003WD00001RvcgiYAB|a1WWD000002tevI2AQ,AAO_PB_INIT,Participant,TRUE,MACHINE,Live,,,
ANS-00000715,A2|Participant|003WD00001RvcgiYAB|a1WWD000002tevJ2AQ,AAO_PB_OBST,Participant,TRUE,MACHINE,Live,,,
ANS-00000712,A2|Participant|003WD00001RvIFeYAN|a1WWD000002p5R72AI,AAO_PS_1,Participant,TRUE,MACHINE,Live,2,,Supporter
ANS-00000710,A2|Participant|003WD00001RvIFeYAN|a1WWD000002p7Kr2AI,AAO_BR_EVAL,Participant,TRUE,MACHINE,Live,,,Evaluator
ANS-00000708,A2|Participant|003WD00001RvIFeYAN|a1WWD000002tevJ2AQ,AAO_PB_OBST,Participant,TRUE,MACHINE,Live,,,
