 ›   Warning: @salesforce/cli update available from 2.135.7 to 2.147.7.
Querying Data... done
AAO_Pair_Ref__c,AAO_Stage__c,AAO_Disposition__c,AAO_Evidence_Contract__r.AAO_Proposition_Code__c,AAO_Meaning__c,AAO_Coverage__c,AAO_Answer_Text__c,AAO_Start_Offset__c,AAO_End_Offset__c,AAO_Speaker_Key__c,AAO_Verification__c,AAO_Verification_Note__c
r1q1,Located,,AAO_BANT_A1,AFFIRMED,Full,"That is me. I sign off on operations spend at this level and there is nobody above me on it. It is my decision, full stop.",293,415,gwen,,
r1q1,Identified,Identified,AAO_BANT_A1,,,,,,,Upheld,"The words identify the person who makes the final call on operations spend and confirm they have no one above them, directly answering the question."
r1q10,Located,,AAO_BR_DM,DECISION_MAKER,Full,"That is me. I sign off on operations spend at this level and there is nobody above me on it. It is my decision, full stop.",293,415,gwen,,
r1q10,Identified,Identified,AAO_BR_DM,,,,,,,Refused,The words describe decision authority over operations spend but do not assert a commitment to a vendor or strategic direction.
r1q11,Identified,Identified,AAO_BR_SIG,,,,,,,Upheld,"The words explicitly state 'I sign off on operations spend,' directly identifying this person as the one who signs."
r1q11,Located,,AAO_BR_SIG,SIGNATURE_APPROVER,Full,I sign off on operations spend at this level,305,349,gwen,,
r1q12,Identified,Identified,AAO_BR_APP,,,,,,,Upheld,"The words state the speaker signs off on operations spend with no one above them, establishing their right to review, approve and control the funds."
r1q12,Located,,AAO_BR_APP,APPROVER,Full,I sign off on operations spend at this level and there is nobody above me on it.,305,385,gwen,,
r1q13,Located,,AAO_POL_IC2,INNER_CIRCLE,Partial,I sign off on operations spend at this level and there is nobody above me on it.,305,385,gwen,,
r1q13,Identified,Identified,AAO_POL_IC2,,,,,,,Upheld,"The words describe signing off on spend and decision authority, which constitutes approving and sponsoring initiatives."
r1q14,Identified,Identified,AAO_POL_IC3,,,,,,,Refused,"The words assert decision-making authority but do not address control of outcomes, which is a different matter than making the decision."
r1q14,Located,,AAO_POL_IC3,INNER_CIRCLE,Partial,"It is my decision, full stop.",386,415,gwen,,
r1q15,Identified,Identified,AAO_DC_N,,,,,,,Refused,"The words describe a problem (wasted hours chasing status) but do not tie it to evaluating, choosing or proceeding with a solution."
r1q15,Located,,AAO_DC_N,CRITERION,Partial,That the handoff failures cost us real hours.,755,800,gwen,,
r1q16,Identified,Identified,AAO_DC_F,,,,,,,Refused,"The words express an informal observation about cost to the team, not an attribution to any organizational evaluation standard, document, process, scorecard, committee or mandate."
